"SRP_occurrenceID","SRP_accession","SRP_imageURL","matchMethod","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","FotW_occurrenceID","scientificName_FotW","FotW_eventDate","FotW_recordNumber","FotW_recordedBy"
3517332,"75732","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075732.jpg","exact","Floerkea proserpinacoides","Limnanthaceae","14199","2021-07-22","C. Davidson","C.M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 30.5 km E of Frenchglen; & 4.7 km S of Fish Lake rd.","118° 36\' 53.5"" W""","42.711472",NA,"3adc149b-0b80-3d9c-af44-dea159e328d7","Floerkea proserpinacoides","2021-07-22","Davidson 14199","C. M. Taylor"
3517334,"75734","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075734.jpg","exact","Tiquilia nuttallii","Ehretiaceae","14127","2021-05-15","C. Davidson","S. Buerki","U.S.A.","Idaho","Owyhee","Junction of Bruneau Dunes Rd. and rd. to the Dunes observatory parking and north Dunes lake.","115° 41\' 33.4"" W""","42.904333",NA,"8dfc2e85-68e6-34e5-8e7a-a340bd157649","Tiquilia canscens","2021-05-15","Davidson, C 14127","C. Davidson"
3517354,"75754","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075754.jpg","exact","Zannichellia palustris","Potamogetonaceae","14215","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","Frenchglen, Warm Springs Canal near Frenchglen Hotel, at junction of hwy 205 and North Steens Loop.","118° 54\' 49.9"" W""","42.825694",NA,"a6791db9-8527-3626-9726-31556aeb9872","Zanichellia palustris","2021-07-22","Davidson 14215","R. Gereau"
3517357,"75757","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075757.jpg","exact","Erythranthe arvensis","Phrymaceae","14226","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn Loop ca. 6 km E of bridge at Donner and Blitzen River. N side of road.","118° 42\' 40.3"" W""","42.666944",NA,"0c3d6260-224c-35b7-b47f-97ead3686c2d","Erythranthe guttata","2021-07-23","Davidson 14226","C. M. Taylor"
3517358,"75758","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075758.jpg","exact","Erythranthe lewisii","Phrymaceae","14200","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 30.5 km E of Frenchglen; & 4.7 km S of Fish Lake rd.","118° 36\' 53.5"" W""","42.711472",NA,"f6ba65ee-8b87-3975-abb8-53e148ec1b94","Erythranthe lewisii","2021-07-22","Davidson 14200","C. Davidson"
3517360,"75760","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075760.jpg","exact","Erythranthe tilingii","Phrymaceae","14244","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen River.","118° 35\' 5.5"" W""","42.667789",NA,"302555d6-17c3-3ae9-ae78-60ceaf5ed978","Erythranthe tilingii","2021-07-23","Davidson 14244","C. Davidson"
3517364,"75764","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075764.jpg","exact","Botrychium simplex","Ophioglossaceae","14257","2021-07-24","C. Davidson",NA,"U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 3.6 km S of Fish Lake Rd; then E on jeep track to a streamlet.","118° 36\' 58.6"" W""","42.716694",NA,"d6a26730-87cf-3317-ae1d-b1b7024d80b3","Botrychium simplex","2021-07-24","Davidson 14257","C. Davidson"
3517424,"75809","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075809.jpg","exact","Osmorhiza occidentalis","Apiaceae","14197","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. loop, ca. 28.7 km E of Frenchglen; 29 km S of Fish Lake Rd.","118° 37\' 40.8"" W""","42.720917",NA,"4170282f-84c3-3e90-9f1f-e4492eb50423","Osmorhiza occidentalis","2021-07-22","Davidson 14197","C. Davidson"
3517427,"75812","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075812.jpg","exact","Ligusticum grayi","Apiaceae","14241","2021-07-23","C. Davidson","C.M/ Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 16.5 km E of bridge at Donner and Blitzen River.","118° 35\' 34.2"" W""","42.669611",NA,"013ef1e0-a9e7-3f70-ae47-aaaaebbef182","Ligusticum grayi","2021-07-23","Davidson, C 14241","C. Davidson"
3517428,"75813","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075813.jpg","exact","Ligusticum grayi","Apiaceae","14189","2021-07-22","C. Davidson","C.M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 25.8 km E of Frenchglen; & 0.4 km W of Fish Lake rd.","118° 38\' 47.3"" W""","42.743111",NA,"c470a6aa-339b-33a4-b9ad-6738a5591314","Ligusticum grayi","2021-07-22","Davidson 14189","C. Davidson"
3517441,"76132","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076132.jpg","exact","Zeltnera muehlenbergii","Gentianaceae","14224","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn Loop ca. 6 km E of bridge at Donner and Blitzen River. N side of road.","118° 42\' 40.3"" W""","42.666944",NA,"c33d2a70-f526-3c7f-b086-e1ecfaf6a358","Zeltnera muehlenbergii","2021-07-23","Davisdon 14224","R. Gereau"
