gbifID,gbifURL,FotW_occurrenceID,occurrenceID,institutionCode,ownerInstitutionCode,catalogNumber,basisOfRecord,bibliographicCitation,acceptedScientificName,family,taxonRank,taxonomicStatus,iucnRedListCategory,recordedBy,recordNumber,eventDate,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,elevation,mediaType,license,rightsHolder,specimenImageURL,hasImage
4031765122,https://www.gbif.org/occurrence/4031765122,794a3767-2710-31e6-9a81-15bcdbc306a9,urn:catalog:MO:Tropicos:102945514,MO,MOBOT,102945514,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945514,Guioa glauca (Labill.) Radlk.,Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Jérôme Munzinger;Martin W. Callmander;Christopher Davidson;Sharon R. Christoph;Bruce Gray;David Bruy,7394,2015-11-17,NC,Province du Nord,"Tiéebaghi, new road on east slope to old mining village, N of Chagrin.",-20.472028,164.253333,160,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
4061208201,https://www.gbif.org/occurrence/4061208201,794a3767-2710-31e6-9a81-15bcdbc306a9,urn:catalog:MO:Tropicos:102945512,MPU,MOBOT,102945512,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945512,Guioa glauca (Labill.) Radlk.,Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Jérôme Munzinger;Martin W. Callmander;Christopher Davidson;Sharon R. Christoph;Bruce Gray;David Bruy,7394,2015-11-17,NC,Province du Nord,"Tiéebaghi, new road on east slope to old mining village, N of Chagrin.",-20.472028,164.253333,160,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
1258194789,https://www.gbif.org/occurrence/1258194789,794a3767-2710-31e6-9a81-15bcdbc306a9,urn:catalog:MO:Tropicos:100880144,P,MOBOT,100880144,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100880144,Guioa glauca (Labill.) Radlk.,Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Jérôme Munzinger;Martin W. Callmander;Christopher Davidson;Sharon R. Christoph;Bruce Gray;David Bruy,7394,2015-11-17,NC,Province du Nord,"Tiéebaghi, new road on east slope to old mining village, N of Chagrin.",-20.472028,164.253333,160,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
4061980936,https://www.gbif.org/occurrence/4061980936,794a3767-2710-31e6-9a81-15bcdbc306a9,urn:catalog:MO:Tropicos:102945513,NOU,MOBOT,102945513,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945513,Guioa glauca (Labill.) Radlk.,Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Jérôme Munzinger;Martin W. Callmander;Christopher Davidson;Sharon R. Christoph;Bruce Gray;David Bruy,7394,2015-11-17,NC,Province du Nord,"Tiéebaghi, new road on east slope to old mining village, N of Chagrin.",-20.472028,164.253333,160,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
2268864258,https://www.gbif.org/occurrence/2268864258,e06264ad-b8c9-3177-882a-d3a8ec3a708c,urn:catalog:MO:Tropicos:100964676,MO,MOBOT,100964676,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964676,"Neoarytera collina (Pancher & Sebert) Callm., Buerki, Munzinger & Lowry",Sapindaceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Christopher Davidson;Sharon R. Christoph,7395,2015-11-10,NC,,Forêt sèche de Tina-Péage.,-22.234922,166.489828,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
1258194826,https://www.gbif.org/occurrence/1258194826,a4dc5ef9-a0ba-3699-8825-a40a4f47cd8f,urn:catalog:MO:Tropicos:100880147,MO,MOBOT,100880147,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100880147,"Acridocarpus Guill., Perr. & A.Rich.",Malpighiaceae,GENUS,ACCEPTED,NE,Porter P. Lowry II;Jérôme Munzinger;Martin W. Callmander;Christopher Davidson;Sharon R. Christoph;Bruce Gray;David Bruy,7395,2015-11-17,NC,Province du Nord,"Tiéebaghi, new road on east slope to old mining village, N of Chagrin.",-20.472028,164.253333,160,,CC_BY_4_0,Missouri Botanical Garden,,N
4061868874,https://www.gbif.org/occurrence/4061868874,a22d370e-a3f3-3190-97ee-7947d2c067ce,urn:catalog:MO:Tropicos:100964677,No_institution,MOBOT,100964677,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964677,Capparis quiniflora DC.,Capparaceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Christopher Davidson;Sharon R. Christoph,7396,2015-11-10,NC,,Forêt sèche de Tina-Péage.,-22.234922,166.489828,,,CC_BY_4_0,Missouri Botanical Garden,,N
4061108147,https://www.gbif.org/occurrence/4061108147,32a603c4-e7b6-354d-b079-20dcb3d3a4f9,urn:catalog:MO:Tropicos:100964679,No_institution,MOBOT,100964679,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964679,Cryptocarya adpressa Munzinger & Mc Pherson,Lauraceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Daniel Letocart;Irène Letocart;B. Besse;P. Mercier;Christopher Davidson;Sharon R. Christoph,7398,2015-11-11,NC,,"Hauts de Robinson, propriété Lavoix.",-22.189739,166.51681,,,CC_BY_4_0,Missouri Botanical Garden,,N
4062154618,https://www.gbif.org/occurrence/4062154618,596a46c3-f9ac-3ae9-b13f-48a339b3d60d,urn:catalog:MO:Tropicos:100964680,No_institution,MOBOT,100964680,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964680,Pycnandra controversa (Guillaumin) Vink,Sapotaceae,SPECIES,ACCEPTED,LC,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Daniel Letocart;Irène Letocart;B. Besse;P. Mercier;Christopher Davidson;Sharon R. Christoph,7399,2015-11-11,NC,,"Hauts de Robinson, propriété Lavoix.",-22.189739,166.51681,,,CC_BY_4_0,Missouri Botanical Garden,,N
4061673564,https://www.gbif.org/occurrence/4061673564,4dc833e4-e39d-384d-bb21-1605eba11ae9,urn:catalog:MO:Tropicos:100964683,No_institution,MOBOT,100964683,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964683,Diplaziopsis javanica (Blume) C.Chr.,Diplaziopsidaceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Daniel Letocart;Irène Letocart;B. Besse;P. Mercier;Christopher Davidson;Sharon R. Christoph,7402,2015-11-11,NC,,"Hauts de Robinson, propriété Lavoix.",-22.188728,166.517625,,,CC_BY_4_0,Missouri Botanical Garden,,N
