"SRP_occurrenceID","SRP_accession","SRP_imageURL","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","note"
3517355,"75755","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075755.jpg","Erythranthe breweri","Phrymaceae","14254","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 3.6 km S of Fish Lake Rd; then E on jeep track to a streamlet.","118° 36\' 58.6"" W""","42.716694",NA,"collector_number_not_in_FotW_DB"
3517359,"75759","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075759.jpg","Erythranthe primuloides","Phrymaceae","14253","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 3.6 km S of Fish Lake Rd; then E on jeep track to a streamlet.","118° 36\' 58.6"" W""","42.716694",NA,"collector_number_not_in_FotW_DB"
3517363,"75763","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075763.jpg","Paeonia brownii","Paeoniaceae","14217","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn Loop. Ca. 27 km E of hwy 205 unction; bridge at Donner and Blitzen River.","118° 45\' 51.8"" W""","42.638306",NA,"collector_number_not_in_FotW_DB"
3517367,"75767","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075767.jpg","Veratrum californicum","Melanthiaceae","14261","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 3.6 km S of Fish Lake Rd; then E on jeep track to a streamlet.","118° 36\' 58.6"" W""","42.716694",NA,"collector_number_not_in_FotW_DB"
3517381,"75781","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075781.jpg","Cuscuta","Convolvulaceae","14204","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 30.5 km E of Frenchglen; & 4.7 km S of Fish Lake rd.","118° 36\' 53.5"" W""","42.711472",NA,"collector_number_not_in_FotW_DB"
3517384,"75784","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075784.jpg","Heterocodon rariflorus","Campanulaceae","14228","2021-07-23","C. Davidson","C.M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 6 km E of bridge at Donner and Blitzen River.","42.666944","-118.711194",NA,"collector_number_not_in_FotW_DB"
3517386,"75786","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075786.jpg","Mahonia repens","Berberidaceae","14234","2021-07-23","C. Davidson","C.M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 11 km E of bridge at Donner and Blitzen River.","118° 41\' 28.1"" W""","42.67275",NA,"collector_number_not_in_FotW_DB"
3517411,"75796","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075796.jpg","Hypericum scouleri","Hypericaceae","14178","2021-06-28","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Benewah","19 km E on St. Joe River Rd. to Reeds Gulch Rd (FR 550), then 12 km N on FR 550.","116° 23\' 25.9"" W""","47.370917",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3517422,"75807","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075807.jpg","Lomatium nudicaule","Apiaceae","14138","2021-06-01","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Blaine","TNC Rock Creek Preserve. Rock Creek Rd., ca. 4.2 km N of hwy 20.","114° 23\' 47.5"" W""","43.365917",NA,"collector_number_not_in_FotW_DB"
